txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
MEDIA,100,"[(218, 652), (216, 704), (176, 703), (178, 651)]","{'Width': 42, 'Height': 53, 'Left': 176, 'Top': 651}","(-14.498, 0.014)",40.01249804748511,52.03844732503075,vertical,"(197.0, 677.5)","(0, 1)",176,651
DIGITAL,100,"[(221, 585), (219, 647), (178, 646), (180, 584)]","{'Width': 43, 'Height': 63, 'Left': 178, 'Top': 584}","(-17.286, 0.014)",41.012193308819754,62.03224967708329,vertical,"(199.5, 615.5)","(0, 1)",178,584
THE,100,"[(222, 548), (221, 581), (180, 580), (181, 547)]","{'Width': 42, 'Height': 34, 'Left': 180, 'Top': 547}","(-18.401, 0.014)",41.012193308819754,33.015148038438355,vertical,"(201.0, 564.0)","(0, 1)",180,547
IN,100,"[(223, 523), (222, 543), (181, 542), (182, 522)]","{'Width': 42, 'Height': 21, 'Left': 181, 'Top': 522}","(-11.152, 0.014)",41.012193308819754,20.024984394500787,vertical,"(202.0, 532.5)","(0, 1)",181,522
DILEMMA,100,"[(228, 367), (224, 496), (183, 495), (187, 366)]","{'Width': 45, 'Height': 130, 'Left': 183, 'Top': 366}","(-17.983, 0.014)",41.012193308819754,129.0620006043607,vertical,"(205.5, 431.0)","(0, 1)",183,366
STORYTELLER'S,100,"[(237, 124), (229, 355), (188, 353), (196, 123)]","{'Width': 49, 'Height': 232, 'Left': 188, 'Top': 123}","(-16.101, 0.027)",41.048751503547585,231.1384866265244,vertical,"(212.5, 238.75)","(0, 1)",188,123
HERNANDEZ,100,"[(215, 849), (213, 954), (191, 954), (193, 849)]","{'Width': 24, 'Height': 105, 'Left': 191, 'Top': 849}","(-29.274, -0.0)",22.0,105.01904589168576,vertical,"(203.0, 901.5)","(0, 1)",191,849
LOUIS,100,"[(216, 791), (215, 842), (193, 842), (194, 791)]","{'Width': 23, 'Height': 51, 'Left': 193, 'Top': 791}","(-28.438, -0.0)",22.0,51.0098029794274,vertical,"(204.5, 816.5)","(0, 1)",193,791
THE,100,"[(239, 54), (237, 114), (196, 113), (198, 53)]","{'Width': 43, 'Height': 61, 'Left': 196, 'Top': 53}","(-16.728, 0.014)",41.012193308819754,60.03332407921454,vertical,"(217.5, 83.5)","(0, 1)",196,53
CHALLENGES,100,"[(227, 655), (225, 749), (207, 749), (209, 655)]","{'Width': 20, 'Height': 94, 'Left': 207, 'Top': 655}","(-26.207, -0.0)",18.0,94.02127418834527,vertical,"(217.0, 702.0)","(0, 1)",207,655
THE,100,"[(228, 619), (228, 649), (210, 649), (210, 619)]","{'Width': 18, 'Height': 30, 'Left': 210, 'Top': 619}","(-300.0, -0.0)",18.0,30.0,vertical,"(219.0, 634.0)","(0, 1)",210,619
VAN,100,"[(244, 996), (276, 996), (276, 1007), (244, 1007)]","{'Width': 32, 'Height': 11, 'Left': 244, 'Top': 996}","(0.0, -300.0)",11.0,32.0,horizontal,"(260.0, 1001.5)","(0, 1)",244,996
PEO,100,"[(246, 930), (301, 931), (300, 953), (245, 952)]","{'Width': 56, 'Height': 23, 'Left': 245, 'Top': 930}","(0.01, -12.267)",22.02271554554524,55.00909015790027,horizontal,"(273.0, 941.5)","(0, 1)",245,930
808,100,"[(278, 988), (246, 988), (246, 976), (278, 976)]","{'Width': 32, 'Height': 12, 'Left': 246, 'Top': 976}","(-0.0, -300.0)",12.0,32.0,horizontal,"(262.0, 982.0)","(0, 1)",246,976
