txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
808.3808.5808,100,"[(1237, 1187), (1405, 1184), (1405, 1204), (1237, 1207)]","{'Width': 168, 'Height': 23, 'Left': 1237, 'Top': 1184}","(0.018, 1000.0, 0.018, 1000.0)",20.0,168.02678357928536,horizontal,"(1321.0, 1195.5)","(0, 0)",1237,1184
Seger,100,"[(1280, 392), (1281, 444), (1247, 444), (1246, 392)]","{'Width': 35, 'Height': 52, 'Left': 1246, 'Top': 392}","(-52.0, 0.0, -52.0, -0.0)",34.0,52.009614495783374,vertical,"(1263.5, 418.0)","(0, 0)",1246,392
|,100,"[(1280, 444), (1280, 456), (1246, 456), (1246, 444)]","{'Width': 34, 'Height': 12, 'Left': 1246, 'Top': 444}","(1000.0, 0.0, 1000.0, -0.0)",34.0,12.0,vertical,"(1263.0, 450.0)","(0, 0)",1246,444
Rainey,100,"[(1281, 454), (1282, 515), (1247, 515), (1246, 454)]","{'Width': 36, 'Height': 61, 'Left': 1246, 'Top': 454}","(-61.0, 0.0, -61.0, -0.0)",35.0,61.00819617067857,vertical,"(1264.0, 484.5)","(0, 0)",1246,454
You,100,"[(1281, 547), (1282, 636), (1248, 636), (1247, 547)]","{'Width': 35, 'Height': 89, 'Left': 1247, 'Top': 547}","(-89.0, 0.0, -89.0, -0.0)",34.0,89.00561780022652,vertical,"(1264.5, 591.5)","(0, 0)",1247,547
talkin,100,"[(1282, 651), (1283, 784), (1249, 784), (1248, 651)]","{'Width': 35, 'Height': 133, 'Left': 1248, 'Top': 651}","(-133.0, 0.0, -133.0, -0.0)",34.0,133.00375934536586,vertical,"(1265.5, 717.5)","(0, 0)",1248,651
',100,"[(1284, 784), (1284, 799), (1250, 799), (1250, 784)]","{'Width': 34, 'Height': 15, 'Left': 1250, 'Top': 784}","(1000.0, 0.0, 1000.0, -0.0)",34.0,15.0,vertical,"(1267.0, 791.5)","(0, 0)",1250,784
to,100,"[(1284, 812), (1285, 860), (1251, 860), (1250, 812)]","{'Width': 35, 'Height': 48, 'Left': 1250, 'Top': 812}","(-48.0, 0.0, -48.0, -0.0)",34.0,48.010415536631214,vertical,"(1267.5, 836.0)","(0, 0)",1250,812
me,100,"[(1285, 872), (1286, 948), (1252, 948), (1251, 872)]","{'Width': 35, 'Height': 76, 'Left': 1251, 'Top': 872}","(-76.0, 0.0, -76.0, -0.0)",34.0,76.00657866263946,vertical,"(1268.5, 910.0)","(0, 0)",1251,872
?,100,"[(1285, 943), (1285, 968), (1251, 968), (1251, 943)]","{'Width': 34, 'Height': 25, 'Left': 1251, 'Top': 943}","(1000.0, 0.0, 1000.0, -0.0)",34.0,25.0,vertical,"(1268.0, 955.5)","(0, 0)",1251,943
How,100,"[(1271, 1008), (1271, 1041), (1260, 1041), (1260, 1008)]","{'Width': 11, 'Height': 33, 'Left': 1260, 'Top': 1008}","(1000.0, 0.0, 1000.0, -0.0)",11.0,33.0,vertical,"(1265.5, 1024.5)","(0, 0)",1260,1008
to,100,"[(1271, 1046), (1271, 1062), (1260, 1062), (1260, 1046)]","{'Width': 11, 'Height': 16, 'Left': 1260, 'Top': 1046}","(1000.0, 0.0, 1000.0, -0.0)",11.0,16.0,vertical,"(1265.5, 1054.0)","(0, 0)",1260,1046
Write,100,"[(1271, 1067), (1271, 1113), (1260, 1113), (1260, 1067)]","{'Width': 11, 'Height': 46, 'Left': 1260, 'Top': 1067}","(1000.0, 0.0, 1000.0, -0.0)",11.0,46.0,vertical,"(1265.5, 1090.0)","(0, 0)",1260,1067
Great,100,"[(1271, 1116), (1271, 1162), (1260, 1162), (1260, 1116)]","{'Width': 11, 'Height': 46, 'Left': 1260, 'Top': 1116}","(1000.0, 0.0, 1000.0, -0.0)",11.0,46.0,vertical,"(1265.5, 1139.0)","(0, 0)",1260,1116
D,100,"[(1271, 1165), (1271, 1177), (1260, 1177), (1260, 1165)]","{'Width': 11, 'Height': 12, 'Left': 1260, 'Top': 1165}","(1000.0, 0.0, 1000.0, -0.0)",11.0,12.0,vertical,"(1265.5, 1171.0)","(0, 0)",1260,1165
COM,100,"[(1303, 1215), (1341, 1215), (1341, 1229), (1303, 1229)]","{'Width': 38, 'Height': 14, 'Left': 1303, 'Top': 1215}","(-0.0, 1000.0, 0.0, 1000.0)",14.0,38.0,horizontal,"(1322.0, 1222.0)","(0, 0)",1303,1215
THE,100,"[(1347, 276), (1347, 339), (1322, 339), (1322, 276)]","{'Width': 25, 'Height': 63, 'Left': 1322, 'Top': 276}","(1000.0, 0.0, 1000.0, -0.0)",25.0,63.0,vertical,"(1334.5, 307.5)","(0, 0)",1322,276
